,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.1375465449494423,0.008065877205482309,0.0,0.0
1,1,0.1380606297756047,0.009669767961688046,0.0005140848261624184,0.0031179351047504983
2,2,0.13759209085683938,0.011478282623627937,4.554590739705572e-05,0.005452072424108058
3,3,0.13756954971837598,0.01179649828644693,2.3004768933702903e-05,0.006082449125027185
4,4,0.1372107636773133,0.011948323520331988,-0.0003357812721289863,0.006357164110452062
5,5,0.1366083294829945,0.011877358262878788,-0.0009382154664477795,0.006609022746233471
6,6,0.13632460690805404,0.012057113618630351,-0.0012219380413882458,0.007205206208135394
7,7,0.13584714428251002,0.012340863927584409,-0.001699400666932281,0.007791734048710883
8,8,0.13549337646030368,0.01288124755087461,-0.0020531684891385944,0.008472360431481474
9,9,0.1349963379667938,0.012949656490429985,-0.002550206982648506,0.008634946441866093
10,10,0.13447283624924045,0.012918195985123206,-0.0030737087002018423,0.008562364364845703
11,11,0.1340091175823192,0.013160352271932334,-0.003537427367123082,0.008735018837929771
12,12,0.13332449426063564,0.013271670709678614,-0.004222050688806656,0.0088655400161469
13,13,0.13258758509677507,0.01337607528864947,-0.004958959852667237,0.008911069639398323
14,14,0.1321603904313562,0.013369629099823232,-0.005386154518086106,0.008931025878213792
15,15,0.13182924575695815,0.013099432982263548,-0.005717299192484161,0.0087429322784276
16,16,0.13128785357792475,0.013052445202554207,-0.006258691371517561,0.008648735198493579
17,17,0.13079797792720843,0.012895640790788861,-0.006748567022233827,0.008523107702085106
18,18,0.13046541507033618,0.01290660236494526,-0.007081129879106128,0.00851476184393525
19,19,0.13009028786995458,0.012829921968550413,-0.007456257079487699,0.008492838436722812
20,20,0.13014465807690392,0.012618425639460844,-0.007401886872538363,0.008351996731715574
21,21,0.12996851192809325,0.01261230302940935,-0.007578033021349037,0.008287825593703193
22,22,0.1299182348529426,0.012703924066982489,-0.007628310096499684,0.00830686983068214
23,23,0.12967012087258292,0.01293357825424701,-0.00787642407685939,0.008426967368818549
24,24,0.12958695982360363,0.01301617296276193,-0.007959585125838668,0.008509830478782685
25,25,0.12951572873082978,0.013073356027606026,-0.008030816218612527,0.00864844722480177
26,26,0.12914144164409813,0.013075171495069843,-0.008405103305344169,0.008690071938147005
27,27,0.1289779356437453,0.01313849069205105,-0.00856860930569702,0.008848113648798601
28,28,0.1287021800752607,0.013243570004374665,-0.008844364874181575,0.008972877710452114
29,29,0.12829525882376097,0.013254850391966189,-0.009251286125681298,0.009137664579256792
30,30,0.12811193350749783,0.013130536561951095,-0.009434611441944475,0.009105971854482501
31,31,0.12806607435780631,0.013026478295493363,-0.009480470591635965,0.009001906394989679
