,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.13769832084810774,0.010331536489550477,0.0,0.0
1,1,0.15649283755412396,0.008509458804975317,0.01879451670601621,0.00270325324756376
2,2,0.16554592956872877,0.00793664279164899,0.02784760872062103,0.0041068193287978885
3,3,0.17249909481819464,0.007462460381112761,0.03480077397008692,0.005043000311611971
4,4,0.17701238115288304,0.007574466918105551,0.039314060304775314,0.006018016893821972
5,5,0.1809098823085135,0.007224818629040722,0.043211561460405744,0.006422989902064724
6,6,0.1843134998279274,0.0067427550098493935,0.046615178979819746,0.007079146882934888
7,7,0.1864254289315663,0.006683326931285038,0.04872710808345857,0.007460028564581481
8,8,0.18870351909598795,0.006390899805290335,0.05100519824788021,0.007611482705854456
9,9,0.1903582389145781,0.006556151549410125,0.05265991806647039,0.007940088728627337
10,10,0.1914875404306215,0.006193360250052516,0.05378921958251379,0.008254680663653605
11,11,0.1924273347356753,0.006206165277806425,0.05472901388756757,0.008692748320934479
12,12,0.19322783199133434,0.006239910304232229,0.055529511143226615,0.008606986545293922
13,13,0.19379721535208802,0.0062431781085493755,0.05609889450398031,0.008751216415580512
14,14,0.19446111437718308,0.006255456396324293,0.05676279352907535,0.008445239721767342
15,15,0.19489763946499014,0.006226781414631172,0.05719931861688241,0.00808453578515207
16,16,0.19526753675884384,0.006276093471533049,0.057569215910736125,0.007953249165589909
17,17,0.19559832859053486,0.006394770525649977,0.05790000774242711,0.007852312249198959
18,18,0.19586546691740375,0.006404456850596264,0.05816714606929605,0.007710882690024423
19,19,0.19633817681668683,0.006548686896611369,0.05863985596857914,0.007921402123642712
20,20,0.1966817776262654,0.006483295443347686,0.05898345677815768,0.00783574468160359
21,21,0.19734972775877951,0.006485169547243597,0.05965140691067179,0.007731954603753724
22,22,0.19791552590031364,0.006499963321599898,0.0602172050522059,0.007775198523095069
23,23,0.19807125129814232,0.006570003235893699,0.0603729304500346,0.008053407547624557
24,24,0.19798770784023362,0.006377334594308292,0.06028938699212588,0.008135856621479863
25,25,0.19829034583373792,0.006409624106623269,0.0605920249856302,0.008201824953747048
26,26,0.19867727504772148,0.006427632024033945,0.060978954199613765,0.007951864046546641
27,27,0.1987304718420306,0.006226969735054702,0.061032150993922875,0.008142802761620853
28,28,0.19911429638617087,0.00623967564910788,0.06141597553806315,0.007952996163930887
29,29,0.19949292229432106,0.006228175928251621,0.06179460144621333,0.008049878104593783
30,30,0.19969363492023182,0.006005132830643684,0.06199531407212409,0.008102674844874364
31,31,0.20001914526741124,0.005791246737623712,0.06232082441930351,0.008138073471940597
