,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.626619075073497,0.010160358484411058,0.0,0.0
1,1,0.6331925914291198,0.041741819666558,0.006573516355622732,0.03527462083222219
2,2,0.6328953233334166,0.040368812248846614,0.006276248259919482,0.041176737320796984
3,3,0.647801835583025,0.04028173964639569,0.021182760509527852,0.044828609639120255
4,4,0.639789420108146,0.045748632010836524,0.013170345034648989,0.048864431843130156
5,5,0.6393329519415805,0.04072352148947809,0.012713876868083441,0.0457502399585294
6,6,0.6373070983367973,0.04971737069695968,0.01068802326330035,0.05403833980127568
7,7,0.6363728168007993,0.05246239224921816,0.009753741727302168,0.05690340033737128
8,8,0.6363225876147263,0.051661569151720994,0.009703512541229076,0.055708283574856896
9,9,0.6424858417683372,0.050952510049385225,0.015866766694840162,0.05413576253373637
10,10,0.6339639437124021,0.05183592248200303,0.007344868638904956,0.05451772629680001
11,11,0.6363099735407725,0.04520396503045386,0.009690898467275343,0.047353282241032586
12,12,0.6367448135581972,0.046346024698476145,0.01012573848470022,0.0476855549338022
13,13,0.6371183630004462,0.046732751304601326,0.010499287926949208,0.04824361293163042
14,14,0.6390841040492556,0.05068090240414241,0.012465028975758564,0.05260039378138194
15,15,0.6367693004592783,0.051072120962464974,0.010150225385781187,0.052716743184404655
16,16,0.6395155354045389,0.05004337454063021,0.012896460331041814,0.05217849379932112
17,17,0.6432372550460592,0.04444298465825246,0.016618179972562132,0.04642764148508128
18,18,0.6486351756990467,0.03724066470415782,0.022016100625549772,0.039764155537439644
19,19,0.6513940500332946,0.03627164902911962,0.02477497495979759,0.03921905452884152
20,20,0.6521598201073713,0.03714946469036251,0.025540745033874233,0.04015955470672813
21,21,0.6518208658425421,0.039124916924193356,0.025201790769045006,0.04236978869069606
22,22,0.652675627593903,0.03879738629370694,0.026056552520405986,0.04213091151512034
23,23,0.6545986847097902,0.037277274292085306,0.027979609636293267,0.04128666184305131
24,24,0.6530850673099515,0.037011281168548016,0.026465992236454593,0.040966451292267905
25,25,0.6543976538138978,0.035998359788543224,0.027778578740400794,0.03952546730438196
26,26,0.6559739856807971,0.03571773640919561,0.029354910607300156,0.03949072353852474
27,27,0.6583583636533579,0.03444618943231917,0.03173928857986088,0.03842939157989422
28,28,0.659866788172211,0.03209888044090392,0.03324771309871409,0.03607975026558934
29,29,0.661001457168237,0.03369632900412863,0.03438238209474,0.03732974142595493
30,30,0.6599940508926461,0.03060382916781117,0.03337497581914896,0.033793838174561046
31,31,0.6598740846320329,0.028651146372170776,0.03325500955853592,0.03172426133612907
