,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.6238215267443352,0.010896215192577807,0.0,0.0
1,1,0.6413849051565043,0.010545461005903315,0.017563378412168974,0.0018033148394479698
2,2,0.650061316704518,0.011273194652412772,0.02623978996018287,0.003666862418489342
3,3,0.6545616010540666,0.011118371677825194,0.030740074309731368,0.004026224032734622
4,4,0.6582226062073493,0.011074827124680933,0.03440107946301407,0.004586768132470611
5,5,0.6606051920073276,0.010926849987464807,0.036783665262992336,0.004840424250982234
6,6,0.6624125059100455,0.01101611949358433,0.03859097916571023,0.005283697934845616
7,7,0.6638515294302747,0.01080072404183453,0.0400300026859395,0.0054624861611745675
8,8,0.6650921252435029,0.01067252188884301,0.041270598499167574,0.005725084749226125
9,9,0.6661413306965216,0.010574268358590115,0.042319803952186284,0.005874687087403367
10,10,0.6671669877728991,0.010413827905073026,0.04334546102856381,0.006057696637497276
11,11,0.6682318965466891,0.01016788904088637,0.04441036980235376,0.006015884514145146
12,12,0.6692299474204393,0.01006380856760745,0.045408420676103914,0.006050847289366265
13,13,0.6700519755397071,0.009936716768016118,0.04623044879537186,0.006003994562701554
14,14,0.6706461291456309,0.009919661648682904,0.04682460240129569,0.006007533644035331
15,15,0.6711542712658993,0.009904321886084843,0.04733274452156396,0.005822415077645356
16,16,0.6717131254856371,0.009774437812623176,0.047891598741301666,0.005931159378966348
17,17,0.6722244346874704,0.00972733061206309,0.048402907943135155,0.0060049588329683466
18,18,0.6725087388249784,0.00954856554197826,0.04868721208064297,0.00612105525158794
19,19,0.6727835885009261,0.009399622906138999,0.0489620617565909,0.006257866907773817
20,20,0.6729951664570453,0.00934676090749434,0.04917363971270997,0.006223856436667465
21,21,0.6732257066193295,0.009341558565594793,0.04940417987499418,0.006220788854319202
22,22,0.6734903980519323,0.009291537091681963,0.04966887130759702,0.006242417627926889
23,23,0.6736481905117392,0.009211344158901888,0.049826663767403835,0.006333473354502632
24,24,0.6738313695463225,0.009109473681545953,0.050009842801987156,0.006442564353920734
25,25,0.6740406236270007,0.009048551328637265,0.05021909688266542,0.0065310018846056065
26,26,0.6741839150949782,0.008999364251642725,0.05036238835064294,0.00655708362236229
27,27,0.6743063055854103,0.008931287840356074,0.05048477884107498,0.006453591436040295
28,28,0.6745526504089253,0.00893246429303905,0.05073112366458997,0.006469829065885062
29,29,0.674690779374491,0.008945014790401246,0.050869252630155536,0.0064582895910870975
30,30,0.674800616803507,0.008915778077410463,0.050979090059171596,0.006530601067233578
31,31,0.674909878860718,0.008817632205009052,0.051088352116382615,0.006588418511388634
