,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.626619075073497,0.010160358484411058,0.0,0.0
1,1,0.6463042224898733,0.008885488882969115,0.01968514741637627,0.002827232046013944
2,2,0.6566275953912719,0.008146599005502395,0.030008520317774966,0.004759691012782632
3,3,0.6637278686737639,0.00778019033364701,0.03710879360026681,0.0056001732028119425
4,4,0.6683228420427196,0.00800645177803862,0.04170376696922249,0.005955829980881608
5,5,0.672083105763128,0.008020082013956126,0.045464030689630966,0.00630789346571015
6,6,0.675092411354771,0.007574026432172514,0.04847333628127402,0.007004848841781176
7,7,0.6772342808914317,0.0075024504179261285,0.0506152058179347,0.007242227929708426
8,8,0.6791544882271103,0.007391489417036149,0.052535413153613306,0.007407523970386993
9,9,0.6805756881694487,0.007357558419637413,0.053956613095951636,0.007712629479296833
10,10,0.6815115435593162,0.007287658192269654,0.05489246848581908,0.007740702112004454
11,11,0.6822017851481232,0.007281957066541378,0.05558271007462624,0.008100195627626169
12,12,0.6831158166422048,0.007398941767701976,0.056496741568707855,0.007986901840265364
13,13,0.6837987165996338,0.00725760483539857,0.05717964152613678,0.007913576549446768
14,14,0.6845315902573132,0.007462141683848887,0.05791251518381629,0.0077525306781581526
15,15,0.6849886828972326,0.007468714554446677,0.058369607823735625,0.0076733053299854175
16,16,0.6855396401439338,0.007638869888064957,0.058920565070436706,0.007695686015367556
17,17,0.6859939170281588,0.007609593185737454,0.059374841954661764,0.007559369771088755
18,18,0.6863690817876592,0.007598938268769428,0.05975000671416212,0.007642680514999413
19,19,0.6868010875364738,0.007663262901380901,0.0601820124629769,0.0079129417282002
20,20,0.6873258935408297,0.007491798020635852,0.06070681846733271,0.008009337266291027
21,21,0.6879813768300891,0.007417528790732422,0.061362301756592144,0.007965511098502645
22,22,0.6885411062102028,0.007455991597306389,0.06192203113670571,0.007983337571728009
23,23,0.6887103004115179,0.00746342371534509,0.06209122533802077,0.008104124749559072
24,24,0.688768965440198,0.0074658473891042725,0.06214989036670106,0.008245970794041825
25,25,0.6890383860930213,0.007420125143004124,0.06241931101952418,0.008216820530542582
26,26,0.6893796408071877,0.007332338663215615,0.06276056573369068,0.008189951056132391
27,27,0.6894825485907726,0.007096263937660168,0.06286347351727559,0.008141154224282502
28,28,0.6897241114086463,0.0071353451556502995,0.06310503633514933,0.007925035908168994
29,29,0.6900480234321152,0.0071559383641766495,0.06342894835861823,0.007928020895472674
30,30,0.6903709498377945,0.0068122751910457595,0.06375187476429743,0.007832908588660483
31,31,0.6907238020223667,0.006726073029418838,0.06410472694886979,0.007954009025461305
