,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.13769832084810774,0.010331536489550477,0.0,0.0
1,1,0.14341327599491316,0.03806934442531817,0.0057149551468054435,0.03135313125061362
2,2,0.14365433158497604,0.03536262604146081,0.005956010736868346,0.035965430466148016
3,3,0.1579092127210471,0.03478641990487411,0.020210891872939393,0.039104198339054604
4,4,0.15010970032434232,0.0398447035117949,0.012411379476234597,0.042087433053374805
5,5,0.14888450912337423,0.0355675045233884,0.011186188275266512,0.03974881235765173
6,6,0.14693461367334973,0.044098351147248464,0.009236292825241988,0.04757777757614104
7,7,0.14642719899173978,0.0467933424312372,0.008728878143632083,0.050491857045863404
8,8,0.14598066601635204,0.04665290444269577,0.008282345168244306,0.04987909430598947
9,9,0.15100631533431508,0.04678622539156215,0.013307994486207352,0.048940460038307404
10,10,0.14393019136913407,0.04711357291686889,0.00623187052102636,0.048783768010172056
11,11,0.14521378400705195,0.04130836737814753,0.0075154631589442675,0.04255165173341994
12,12,0.1454096103833373,0.042388628560522834,0.0077112895352296085,0.04266433903317002
13,13,0.14525416979648492,0.04336534328988403,0.007555848948377244,0.043878051838776744
14,14,0.14714839972456562,0.04633810760942322,0.009450078876457883,0.04732274618648924
15,15,0.14545357127516895,0.046698771575139846,0.007755250427061227,0.04726619835560777
16,16,0.1477038886813679,0.04604715370031775,0.010005567833260202,0.04715319021918281
17,17,0.1505887225046266,0.04080115733679679,0.01289040165651889,0.041668305742218324
18,18,0.15536319265020213,0.034165045291588,0.01766487180209443,0.035533667859154405
19,19,0.15762762728068794,0.033654583761656906,0.019929306432580233,0.03564118998064358
20,20,0.15812425159416624,0.03434599562685888,0.02042593074605852,0.036336862890565653
21,21,0.1581900367736414,0.035865777288909086,0.020491715925533695,0.038024840099610276
22,22,0.1589221717910103,0.03590362864040327,0.021223850942902613,0.03800882830443423
23,23,0.16048187913458464,0.03439828057254934,0.02278355828647692,0.0372034009499785
24,24,0.1593719179873092,0.03428729339051176,0.02167359713920151,0.036920465485110354
25,25,0.16011721868652665,0.033477827851795955,0.022418897838418925,0.0356857228134224
26,26,0.16204239225893152,0.033115681147451885,0.024344071410823814,0.03562572378707969
27,27,0.16403771113325047,0.032106933956701,0.02633939028514274,0.03483696719745463
28,28,0.16529673874518208,0.03025577769487484,0.027598417897074356,0.03300172819813703
29,29,0.16692802559209624,0.03149687133787029,0.029229704743988512,0.03401841459109433
30,30,0.165709860611312,0.028749982210074413,0.028011539763204273,0.03071463121016536
31,31,0.16557120467018832,0.02732905381810114,0.027872883822080606,0.029280606174968294
