,autoreg-iteration,autoreg-inf-mean,autoreg-inf-std,mean-gain,std-gain
0,0,0.6172933124774522,0.008710992853339023,0.0,0.0
1,1,0.6164225187964911,0.011409968645179498,-0.0008707936809610572,0.004129755061876441
2,2,0.6150741724006121,0.013695891045503953,-0.0022191400768400427,0.00679099014688174
3,3,0.6137420795856219,0.014248030692144985,-0.003551232891830236,0.007651004467856554
4,4,0.6126667662930189,0.014811824773095257,-0.004626546184433278,0.008039069799604079
5,5,0.6112015858739352,0.015046736702962953,-0.006091726603516989,0.008222294010311678
6,6,0.6104022890602715,0.015449522324878623,-0.006891023417180664,0.008929191073168218
7,7,0.6094701645445639,0.015813766691014655,-0.007823147932888307,0.009534729584744663
8,8,0.608544525809925,0.01599922639054564,-0.00874878666752712,0.009961272206037852
9,9,0.6076563139726189,0.016053172882007735,-0.009636998504833173,0.010179271973059394
10,10,0.6069483507025069,0.01589094711236548,-0.010344961774945238,0.01003247424530019
11,11,0.606030307656289,0.016040258583181054,-0.011263004821163302,0.010168954317623945
12,12,0.6048749775090239,0.015978040159921138,-0.012418334968428379,0.010156459735081898
13,13,0.6039242223905036,0.01606135868847594,-0.013369090086948587,0.010255984637733702
14,14,0.6031526364716504,0.016022979812149844,-0.014140676005801777,0.010236455453427683
15,15,0.602593172034905,0.01577418874507311,-0.014700140442547105,0.010055718230083674
16,16,0.60176960820188,0.01574344624488957,-0.015523704275572125,0.01003504181327462
17,17,0.6009933507249425,0.015511306981730944,-0.01629996175250962,0.009819533298156505
18,18,0.6004775771931998,0.015491874209414494,-0.016815735284252266,0.009888456550240374
19,19,0.599992785713623,0.015427258553572893,-0.01730052676382914,0.009881947544093298
20,20,0.5998248388450113,0.015363567110314866,-0.017468473632440928,0.00988759884597015
21,21,0.5994036629952151,0.015443393772909661,-0.017889649482237147,0.00994233434950056
22,22,0.5991461766682138,0.015581644593645687,-0.018147135809238334,0.010057749057271427
23,23,0.5987638557063372,0.015833464687903694,-0.018529456771115106,0.010262816120661386
24,24,0.5984705361182511,0.016011155955909413,-0.01882277635920111,0.010428458940846362
25,25,0.5982368387254428,0.01613951697651845,-0.019056473752009327,0.010602314547628555
26,26,0.5979195646960906,0.016168751898038045,-0.01937374778136163,0.010655284789281131
27,27,0.5977506506501497,0.016280678478262856,-0.019542661827302445,0.010771359907590983
28,28,0.5975244808618766,0.016379506681049667,-0.019768831615575643,0.010900549968212398
29,29,0.59721783462173,0.016245495034311812,-0.020075477855722314,0.01085602934601993
30,30,0.5970837234993258,0.016181990810046693,-0.020209588978126324,0.010830488407392749
31,31,0.5970194023819533,0.01607981497427858,-0.020273910095499025,0.010722140239365935
